Categoría ID,Categoría Nombre,Producto ID,Producto Nombre,Precio
1,Aceite,4240,"Aceite de oliva 0,4º Hacendado",5.85
1,Aceite,4717,Aceite de oliva virgen extra Hacendado,19.55
1,Aceite,4740,Aceite de oliva virgen extra Hacendado,6.75
1,Aceite,4706,Aceite de oliva virgen extra Hacendado Gran Selección,6.95
1,Aceite,4640,Aceite de oliva 1º Hacendado,5.85
1,Aceite,4711,Aceite de oliva virgen Hacendado,17.95
1,Aceite,4749,Aceite de oliva virgen Hacendado,6.25
1,Aceite,4204,Aceite de oliva suave Hacendado,16.85
1,Aceite,4609,Aceite de oliva intenso Hacendado,16.85
1,Aceite,4718,Aceite de oliva virgen extra Hacendado,2.90
1,Aceite,4850,Aceite de oliva virgen extra Picual Casa Juncal,5.95
1,Aceite,4041,"Aceite de girasol refinado 0,2º Hacendado",8.50
1,Aceite,4040,"Aceite de girasol refinado 0,2º Hacendado",1.75
1,Aceite,4193,Aceite de coco virgen Hacendado,4.55
2,Vinagre,4940,Vinagre de vino blanco Hacendado,0.65
2,Vinagre,4957,Vinagre de manzana Hacendado,0.80
7,Limon,4903,Limón exprimido Hacendado,1.00
2,Vinagre,4908,Crema de vinagre balsámico de Módena Hacendado,1.75
2,Vinagre,13609,Vinagre de Jerez reserva Hacendado,2.00
2,Vinagre,4905,Reducción bálsamica de vinagre Pedro Ximénez Hacendado,2.25
2,Vinagre,26496,Vinagre balsámico de Módena Hacendado,2.35
4,Sal,19731,Sal fina Hacendado,0.40
4,Sal,16864,Sal fina de mesa Hacendado,0.75
4,Sal,19732,Sal yodada fina Hacendado,0.40
4,Sal,19733,Sal gruesa Hacendado,0.40
6,Bicarbonato,29007,Bicarbonato de sódio Hacendado,1.50
6,Bicarbonato,29006,Bicarbonato de sódio Hacendado,1.10
4,Sal,19740,Escamas de sal marina natural Polasal,2.00
4,Sal,19734,Sal gruesa para hornear Hacendado,1.25
4,Sal,34130,Sal de ajo Hacendado,1.80
4,Sal,29016,Sal de frutas sabor limón Hacendado,2.10
4,Sal,19713,Sal 60% menos de sodio Hacendado,2.30
8,Especias,19726,Preparado para ahumar Hacendado,3.30
4,Sal,8930,Sal rosa del Himalaya Hacendado,2.65
8,Especias,5598,Orégano Hacendado,0.95
8,Especias,5599,Perejil Hacendado,0.90
8,Especias,47994,Hoja de laurel Hacendado,0.80
8,Especias,34131,Hierbas provenzales Hacendado,1.20
8,Especias,34128,Albahaca Hacendado,1.25
8,Especias,34175,Romero Hacendado,1.35
8,Especias,5547,Tomillo Hacendado,1.05
8,Especias,52739,Eneldo Hacendado,1.85
8,Especias,34721,Cilantro Hacendado,1.85
8,Especias,60873,Ajo y Perejil Hacendado,1.35
8,Especias,34182,Colorante alimentario Hacendado,0.95
8,Especias,34184,Pimentón dulce Hacendado,1.00
8,Especias,34102,Pimentón dulce de la Vera Hacendado,1.75
8,Especias,34116,Azafrán molido Hacendado,1.80
8,Especias,8370,Azafrán hebra Hacendado,1.80
8,Especias,34183,Pimentón picante Hacendado,1.35
8,Especias,60573,Pimentón dulce Hacendado,1.30
8,Especias,34171,Pimienta negra molida Hacendado,1.15
8,Especias,67693,Molinillo pimienta negra Hacendado,1.65
8,Especias,34172,Pimienta negra en grano Hacendado,1.50
8,Especias,67694,Molinillo mix pimientas Hacendado,1.85
8,Especias,34170,Pimienta blanca molida Hacendado,2.15
8,Especias,86656,Ajo granulado Hacendado,1.12
8,Especias,34208,Cebolla frita crujiente Hacendado,1.15
8,Especias,34177,Canela molida Hacendado,1.00
8,Especias,52880,Canela en rama Hacendado,1.45
8,Especias,34120,Comino molido Hacendado,1.20
8,Especias,34121,Comino en grano Hacendado,1.95
8,Especias,34125,Curry Hacendado,1.15
8,Especias,34173,Nuez moscada molida Hacendado,1.65
8,Especias,34138,Cebolla en polvo Hacendado,0.92
8,Especias,34178,Cayena guindillas Hacendado,1.33
8,Especias,37417,Cayena molida Hacendado,1.62
8,Especias,34163,Cúrcuma Hacendado,1.30
8,Especias,34149,Jengibre molido Hacendado,1.65
4,Sal,34130,Sal de ajo Hacendado,1.80
8,Especias,34113,Ñoras Hacendado,1.53
8,Especias,34122,Clavo en grano Hacendado,1.75
8,Especias,34123,Anís en grano Hacendado,2.00
8,Especias,60869,Piñones Hacendado,2.96
8,Especias,86843,Piñones Hacendado,6.07
5,Sazonador,23353,Sazonador para fajitas Hacendado sabor tex-mex,0.85
5,Sazonador,11971,Sazonador ajo y limón Hacendado para carne y pescado,1.05
5,Sazonador,11972,Sazonador hierbas provenzales Hacendado para pollo y costillas,1.00
5,Sazonador,86659,Sazonador barbacoa Hacendado para pollo y costillas,1.30
5,Sazonador,34702,Sazonador para paella con azafrán Hacendado,1.45
5,Sazonador,17147,Sazonador para burritos Hacendado,1.30
5,Sazonador,86808,Sazonador pollo y carne Hacendado,1.40
5,Sazonador,60640,Sazonador pasta Hacendado,1.60
8,Especias,34114,Mezcla de especias para gazpacho manchego Hacendado,2.50
3,Salsa,13406,Mayonesa Hacendado,1.10
3,Salsa,52728,Mayonesa Hacendado,0.95
3,Salsa,13407,Mayonesa Hacendado,1.25
3,Salsa,23816,Mayonesa en sobres individuales Hacendado,1.25
3,Salsa,35840,Mayonesa Hellmann's,2.65
3,Salsa,35839,Salsa Original Ligeresa,2.00
3,Salsa,17039,Salsa Original Ligeresa,2.65
3,Salsa,17166,Mayonesa Musa,2.45
3,Salsa,15793,Salsa Light Hacendado,1.10
3,Salsa,15794,Salsa Light Hacendado,1.25
3,Salsa,23579,Ketchup Hacendado,1.15
3,Salsa,67586,Ketchup en sobres individuales Hacendado,1.40
3,Salsa,35837,Ketchup Heinz,3.50
3,Salsa,35343,Salsa de tomate Zero sin azúcares añadidos Hacendado,1.60
3,Salsa,17229,Mostaza a la antigua Hacendado,1.70
3,Salsa,17228,Mostaza de Dijon Hacendado,1.25
3,Salsa,23410,Mostaza clásica Hacendado,1.35
3,Salsa,17150,Allioli Chovi,1.35
3,Salsa,17172,Allioli Hacendado,1.05
3,Salsa,17173,Allioli en sobres individuales Hacendado,1.50
3,Salsa,17132,Tomate frito Hacendado,1.35
3,Salsa,17151,Tomate frito Hacendado,0.90
3,Salsa,17108,Tomate frito Hacendado,0.85
3,Salsa,17163,Tomate frito receta artesana Hacendado,2.10
3,Salsa,17131,Tomate frito receta artesana Hacendado,1.50
3,Salsa,17110,Tomate frito Hida,1.75
3,Salsa,17153,Tomate frito estilo casero Hacendado,1.20
3,Salsa,17128,Tomate frito Hacendado con aceite de oliva,1.40
3,Salsa,17330,Tomate frito sin azúcares añadidos Hacendado,1.10
3,Salsa,17346,Salsa Barbacoa Hacendado,1.15
3,Salsa,17502,Salsa pimienta verde Hacendado,1.25
3,Salsa,17347,Salsa Burger Hacendado,1.35
3,Salsa,17396,Salsa Piri Piri Hacendado,1.00
3,Salsa,35412,Salsa curry Tikka Masala Hacendado picante,2.00
3,Salsa,60521,Salsa Barbacoa Zero sin azúcares añadidos Hacendado,1.45
3,Salsa,35438,Salsa Pesto con albahaca Hacendado,1.95
3,Salsa,52858,Salsa de tomate Boloñesa Hacendado,1.90
3,Salsa,52859,Salsa de tomate con Albahaca Hacendado,1.75
3,Salsa,17410,Salsa fresca Trufa Hacendado,1.45
3,Salsa,17409,Salsa fresca Queso Hacendado,1.45
3,Salsa,35186,Salsa fresca Pesto con albahaca Hacendado,2.00
3,Salsa,7972,Salsa fresca Setas Hacendado,1.65
3,Salsa,35183,Salsa fresca Carbonara Hacendado,1.65
3,Salsa,17360,Salsa de Soja Hacendado,1.25
3,Salsa,17362,Salsa Teriyaki Hacendado,1.65
3,Salsa,22721,Salsa Agridulce Hacendado,1.50
3,Salsa,22613,Salsa Thai Chili dulce J-Lek,1.55
3,Salsa,17382,Salsa de Soja sin gluten Hacendado,2.50
3,Salsa,3840,Guacamole Hacendado,3.85
3,Salsa,3852,Guacamole Hacendado,1.75
3,Salsa,17327,Salsa Yogur Hacendado,1.20
3,Salsa,16827,Salsa Mexicana Hacendado,1.25
3,Salsa,17386,Salsa Ranch Hacendado,1.35
3,Salsa,17366,Salsa César Hacendado,1.40
1,Aceite,17265,Aliño de aceite con perejil y ajo Hacendado,1.75
3,Salsa,52467,Salsa Miel y Mostaza Hacendado,1.45
3,Salsa,17259,Salsa de Trufa,3.10
3,Salsa,17348,Salsa Gajo Rústica Hacendado,1.35
3,Salsa,35344,Salsa de Queso Hacendado,1.65
8,Especias,23137,Chili con carne Hacendado,2.70
3,Salsa,23073,Salsa cocktail Hacendado,1.50
3,Salsa,23072,Salsa Cocktail Hacendado,1.30
8,Especias,34157,Carne de pimiento choricero Hacendado,1.55
8,Especias,17441,Pasta de sésamo Tahini Hacendado,2.95
3,Salsa,8803,Salsa Bechamel Knorr,2.25
10,Agua,28035,Agua mineral grande Bronchales,1.26
