"Categoría ID","Categoría Nombre","Producto ID","Producto Nombre",Precio
12,"Aceite, especias y salsas",4240,"Aceite de oliva 0,4º Hacendado",5.85
12,"Aceite, especias y salsas",4717,"Aceite de oliva virgen extra Hacendado",19.55
12,"Aceite, especias y salsas",4740,"Aceite de oliva virgen extra Hacendado",6.75
12,"Aceite, especias y salsas",4706,"Aceite de oliva virgen extra Hacendado Gran Selección",6.95
12,"Aceite, especias y salsas",4640,"Aceite de oliva 1º Hacendado",5.85
12,"Aceite, especias y salsas",4711,"Aceite de oliva virgen Hacendado",17.95
12,"Aceite, especias y salsas",4749,"Aceite de oliva virgen Hacendado",6.25
12,"Aceite, especias y salsas",4204,"Aceite de oliva suave Hacendado",16.85
12,"Aceite, especias y salsas",4609,"Aceite de oliva intenso Hacendado",16.85
12,"Aceite, especias y salsas",4718,"Aceite de oliva virgen extra Hacendado",2.90
12,"Aceite, especias y salsas",4850,"Aceite de oliva virgen extra Picual Casa Juncal",5.95
12,"Aceite, especias y salsas",4041,"Aceite de girasol refinado 0,2º Hacendado",8.50
12,"Aceite, especias y salsas",4040,"Aceite de girasol refinado 0,2º Hacendado",1.75
12,"Aceite, especias y salsas",4193,"Aceite de coco virgen Hacendado",4.55
12,"Aceite, especias y salsas",4940,"Vinagre de vino blanco Hacendado",0.65
12,"Aceite, especias y salsas",4957,"Vinagre de manzana Hacendado",0.80
12,"Aceite, especias y salsas",4903,"Limón exprimido Hacendado",1.00
12,"Aceite, especias y salsas",4908,"Crema de vinagre balsámico de Módena Hacendado",1.75
12,"Aceite, especias y salsas",13609,"Vinagre de Jerez reserva Hacendado",2.00
12,"Aceite, especias y salsas",4905,"Reducción bálsamica de vinagre Pedro Ximénez Hacendado",2.25
12,"Aceite, especias y salsas",26496,"Vinagre balsámico de Módena Hacendado",2.35
12,"Aceite, especias y salsas",19731,"Sal fina Hacendado",0.40
12,"Aceite, especias y salsas",16864,"Sal fina de mesa Hacendado",0.75
12,"Aceite, especias y salsas",19732,"Sal yodada fina Hacendado",0.40
12,"Aceite, especias y salsas",19733,"Sal gruesa Hacendado",0.40
12,"Aceite, especias y salsas",29007,"Bicarbonato de sódio Hacendado",1.50
12,"Aceite, especias y salsas",29006,"Bicarbonato de sódio Hacendado",1.10
12,"Aceite, especias y salsas",19740,"Escamas de sal marina natural Polasal",2.00
12,"Aceite, especias y salsas",19734,"Sal gruesa para hornear Hacendado",1.25
12,"Aceite, especias y salsas",34130,"Sal de ajo Hacendado",1.80
12,"Aceite, especias y salsas",29016,"Sal de frutas sabor limón Hacendado",2.10
12,"Aceite, especias y salsas",19713,"Sal 60% menos de sodio Hacendado",2.30
12,"Aceite, especias y salsas",19726,"Preparado para ahumar Hacendado",3.30
12,"Aceite, especias y salsas",8930,"Sal rosa del Himalaya Hacendado",2.65
12,"Aceite, especias y salsas",5598,"Orégano Hacendado",0.95
12,"Aceite, especias y salsas",5599,"Perejil Hacendado",0.90
12,"Aceite, especias y salsas",47994,"Hoja de laurel Hacendado",0.80
12,"Aceite, especias y salsas",34131,"Hierbas provenzales Hacendado",1.20
12,"Aceite, especias y salsas",34128,"Albahaca Hacendado",1.25
12,"Aceite, especias y salsas",34175,"Romero Hacendado",1.35
12,"Aceite, especias y salsas",5547,"Tomillo Hacendado",1.05
12,"Aceite, especias y salsas",52739,"Eneldo Hacendado",1.85
12,"Aceite, especias y salsas",34721,"Cilantro Hacendado",1.85
12,"Aceite, especias y salsas",60873,"Ajo y Perejil Hacendado",1.35
12,"Aceite, especias y salsas",34182,"Colorante alimentario Hacendado",0.95
12,"Aceite, especias y salsas",34184,"Pimentón dulce Hacendado",1.00
12,"Aceite, especias y salsas",34102,"Pimentón dulce de la Vera Hacendado",1.75
12,"Aceite, especias y salsas",34116,"Azafrán molido Hacendado",1.80
12,"Aceite, especias y salsas",8370,"Azafrán hebra Hacendado",1.80
12,"Aceite, especias y salsas",34183,"Pimentón picante Hacendado",1.35
12,"Aceite, especias y salsas",60573,"Pimentón dulce Hacendado",1.30
12,"Aceite, especias y salsas",34171,"Pimienta negra molida Hacendado",1.15
12,"Aceite, especias y salsas",67693,"Molinillo pimienta negra Hacendado",1.65
12,"Aceite, especias y salsas",34172,"Pimienta negra en grano Hacendado",1.50
12,"Aceite, especias y salsas",67694,"Molinillo mix pimientas Hacendado",1.85
12,"Aceite, especias y salsas",34170,"Pimienta blanca molida Hacendado",2.15
12,"Aceite, especias y salsas",86656,"Ajo granulado Hacendado",1.12
12,"Aceite, especias y salsas",34208,"Cebolla frita crujiente Hacendado",1.15
12,"Aceite, especias y salsas",34177,"Canela molida Hacendado",1.00
12,"Aceite, especias y salsas",52880,"Canela en rama Hacendado",1.45
12,"Aceite, especias y salsas",34120,"Comino molido Hacendado",1.20
12,"Aceite, especias y salsas",34121,"Comino en grano Hacendado",1.95
12,"Aceite, especias y salsas",34125,"Curry Hacendado",1.15
12,"Aceite, especias y salsas",34173,"Nuez moscada molida Hacendado",1.65
